hs_code,hs_description,period_value,ytd_value
7309,"Reservoirs, tanks, vats and similar containers; for any material (excluding compressed or liquefied gas), of iron or steel, capacity exceeding 300l, whether or not lined or heat insulated",118405.20999999999,118405.20999999999
7310,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), of iron or steel, capacity not exceeding 300l, whether or not lined or heat-insulated",78812.83,78812.83
7311,"Containers for compressed or liquefied gas, of iron or steel",2512300.3499999996,2512300.3499999996
7312,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated",6983291.4799999995,6983291.4799999995
7313,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not and loosely twisted double wire, of a kind used for fencing, of iron or steel",1012619.72,1012619.72
7314,"Cloth (including endless bands), grill, netting and fencing, of iron or steel wire; expanded metal of iron or steel",451900.24,451900.24
7317,"Nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, of iron or steel, with heads of other material or not, but excluding articles with heads of copper",5465646.55,5465646.55
7318,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel",67093.43,67093.43
7321,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances and parts, of iron or st",2296975.51,2296975.51
7323,"Table, kitchen, other household articles and parts, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel",252135.84000000003,252135.84000000003
7324,"Sanitary ware and parts thereof, of iron or steel",70158.0,70158.0
7325,Iron or steel; cast articles,16940.0,16940.0
7326,"Iron or steel; articles, n.e.c. in chapter 73",12341755.259999998,12341755.259999998
7326,"Ores, slag and ash",26551.92,26551.92
7412,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",18810.0,18810.0
7604,"Aluminium; bars, rods and profiles",470945.75,470945.75
7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm",133086.3,133086.3
7609,"Aluminium; tube or pipe fittings (e.g. couplings, elbows, sleeves)",24400.0,24400.0
7610,"Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts (e.g. bridges and sections, towers, lattice masts, etc) plates, rods, profiles and tubes for structures",512238.04,512238.04
7612,"Aluminium casks, drums, cans, boxes etc (including rigid, collapsible tubular containers), for materials other than compressed, liquefied gas, 300l capacity or less, lined, heat-insulated or not",409413.66,409413.66
7616,Aluminium; articles n.e.c. in chapter 76,12751.2,12751.2
8112,"Beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium; and articles of these metals, including waste and scrap",83561.0,83561.0
8201,"Tools, hand; spades, shovels, mattocks, picks, hoes, forks, rakes; axes, bill hooks etc; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools us",554461.01,554461.01
8203,"Tools, hand; files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe cutters, bolt croppers, perforating punches and similar",30173.3,30173.3
8204,"Tools, hand; hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches), interchangeable spanner sockets, with or without handles",1344275.99,1344275.99
8206,"Tools, hand; two or more of heading no. 8202 to 8205, put up in sets for retail sale",441.0,441.0
8212,Razors and razor blades; (including razor blade blanks in strips),193845.0,193845.0
8213,"Scissors; tailors' shears and similar shears, and blades therefore",0.0,0.0
8215,"Cutlery; spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter knives, sugar tongs and similar kitchen or tableware",51957.2,51957.2
8301,"Padlocks and locks (key, combination, electrically operated) of base metal; clasps and frames with clasps incorporating locks, of base metal, keys for any or the foregoing articles, of base metal",451709.31000000006,451709.31000000006
8302,"Base metal mountings, fittings and similar articles for furniture, doors, staircases, windows, trunks, chests etc, castors with mountings of base metal, automatic door closers of base metal",59310.0,59310.0
8303,"Safes; armoured or reinforced, strong-boxes, doors and safe deposit lockers for strong-rooms, cash or deed boxes and the like, of base metal",10554.14,10554.14
8304,"Office equipment; filing cabinets, card-index cabinets, paper trays and rests, pen trays, office-stamp stands and the like, of base metal, other than office furniture of heading no. 9403",72784.0,72784.0
8404,"Auxiliary plant for use with boilers of heading no. 8402 or 8403; e.g. economisers, super-heaters, soot removers, gas recoverers), condensers for steam or other vapour power units",25276.05,25276.05
8407,Reciprocating or rotary internal combustion piston engines,224260.31000000003,224260.31000000003
8407,Vegetables and certain roots and tubers; edible,95.0,95.0
8412,"Engines and motors; n.e.c. (e.g. reaction engines, hydraulic power engines, pneumatic power engines)",18661.0,18661.0
8413,"Pumps; for liquids, whether or not fitted with measuring device, liquid elevators",111321.01000000001,111321.01000000001
8414,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan whether or not fitted with filters",1073767.9399999997,1073767.9399999997
8414,Vegetable plaiting materials; vegetable products not elsewhere specified or included,6790.0,6790.0
8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",717625.97,717625.97
8417,"Furnaces and ovens; industrial or laboratory, including incinerators, non-electric",29840.0,29840.0
8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",3543174.25,3543174.25
8419,"Machinery, plant (not domestic), or laboratory equipment; electrically heated or not, (excluding items in 85.14) for the treatment of materials by a process involving change of temperature; including ",19486.0,19486.0
8419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",84254.98999999999,84254.98999999999
8421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus for liquids or gases",463490.76,463490.76
8422,"Dish washing machines; machinery for cleaning, drying, filling, closing, sealing, capsuling or labelling bottles, cans, boxes, bags, etc, machinery for aerating beverages",150065.7,150065.7
8424,"Mechanical appliances for projecting, dispersing or spraying liquids or powders; fire extinguishers, spray guns, steam, sand blasting machines",101897.5,101897.5
8426,"Derricks, cranes, including cable cranes, mobile lifting frames, straddle carriers and works trucks fitted with a crane",173076.14,173076.14
8428,"Lifting, handling, loading or unloading machinery; n.e.c. in heading no. 8425, 8426 or 8427 (e.g. lifts, escalators, conveyors, teleferics)",236378.5,236378.5
8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",319909.65,319909.65
8430,Pharmaceutical products,30056.0,30056.0
8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading n",44002.0,44002.0
8435,"Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages",58125.45,58125.45
8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",177715.7,177715.7
8437,"Machines for cleaning, sorting, grading seed, grain, dried leguminous vegetables; machinery used in the milling industry for the working of cereals or dried leguminous vegetables, not farm type machin",49922.3,49922.3
8438,"Machinery n.e.c. in this chapter, for the industrial preparation or manufacture of food or drink; other than machinery for extraction or preparation of animal or fixed vegetable fats or oils",423921.58999999997,423921.58999999997
8441,"Machines; for making up paper pulp, paper or paperboard, including cutting machines of all kinds",1262003.79,1262003.79
8443,"Printing machinery; used for printing by means of plates, cylinders and other printing components of heading 84.42; other printers, copying machines and facsimile machines, whether or not combined; pa",111868.0,111868.0
8447,"Knitting machines, stitch-bonding machines and machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines for tufting",803268.0,803268.0
8450,Household or laundry-type washing machines; including machines which both wash and dry,335391.29000000004,335391.29000000004
8455,Metal-rolling mills and rolls therefor,3597071.28,3597071.28
8461,"Machine-tools; for planing, shaping, slotting, broaching, gear cutting and grinding, finishing, sawing, cutting off and other tools working by removing metal, sintered metal carbides or cermets n.e.c.",3304.6,3304.6
8468,"Machinery and apparatus for soldering, brazing, welding, whether or not capable of cutting, other than those of heading no. 8515; gas-operated surface tempering machines and appliances",12033.8,12033.8
8471,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere spe",590.0,590.0
8471,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",203.0,203.0
8472,Office machines; not elsewhere classified,3331.0,3331.0
8473,"Machinery; parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72",77713.57,77713.57
8474,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores in solid form, shaping, moulding machinery for solid mineral fuels",183693.0,183693.0
8477,"Machinery; for working rubber or plastics or for the manufacture of products from these materials, n.e.c. in this chapter",45954.0,45954.0
8479,"Machinery and mechanical appliances; having individual functions, n.e.c. in this chapter",89867.43,89867.43
8480,"Moulding boxes for metal foundry, moulding patterns, moulds for metals (excluding ingot moulds), metal carbides, glass, mineral materials, rubber or plastics",1359501.06,1359501.06
8481,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves",26.0,26.0
8487,"Machinery parts; not containing electrical connectors, insulators, coils, contacts or other electrical features, n.e.c. in this chapter",5269.46,5269.46
8502,Electric generating sets and rotary converters,2289152.0599999996,2289152.0599999996
8503,Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,32184.0,32184.0
8504,"Electric transformers, static converters (e.g. rectifiers) and inductors",306882.44,306882.44
8506,Cells and batteries; primary,7941089.26,7941089.26
8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",18409.0,18409.0
8509,"Electro-mechanical domestic appliances; with self-contained electric motor, other than vacuum cleaners of heading 85.08.",771920.4299999999,771920.4299999999
8515,"Electric (electrically heated gas) soldering, brazing, welding machines and apparatus, capable or not of cutting, electric machines and apparatus for hot spraying of metals or sintered carbides",845298.5,845298.5
8516,"Electric water, space, soil heaters; electro-thermic hair-dressing apparatus; hand dryers, irons; electro-thermic appliances for domestic purposes; electro heating resistors, not of heading no. 8545",121850.88999999998,121850.88999999998
8517,Sugars and sugar confectionery,49500.0,49500.0
8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless ne",495270.82999999996,495270.82999999996
8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audi",492749.36,492749.36
8523,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the pr",630724.2,630724.2
8525,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video",780.0,780.0
8528,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",25795.0,25795.0
8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or rep",110201.02000000002,110201.02000000002
8529,Transmission apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8525 to 8528,546054.44,546054.44
8536,"Electrical apparatus for switching, protecting electrical circuits, for making connections to or in electrical circuits, for a voltage not exceeding 1000 volts; connectors for optical fibres, optical ",404529.82999999996,404529.82999999996
8539,"Lamps; electric filament or discharge lamps, including sealed beam lamp units and ultra-violet or infra-red lamps, arc lamps, light-emitting diode (LED) lamps",29012.0,29012.0
8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals",4940320.42,4940320.42
8542,Electronic integrated circuits,34300.9,34300.9
8544,"Insulated wire, cable and other electric conductors, connector fitted or not; optical fibre cables of individually sheathed fibres, whether or not assembled with electric conductors or fitted with con",602838.89,602838.89
8607,Vegetables and certain roots and tubers; edible,3360.0,3360.0
8609,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,234341.13,234341.13
8702,Vehicles; public transport passenger type,8734607.999999998,8734607.999999998
8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",7663713.059999999,7663713.059999999
8704,Vehicles; for the transport of goods,1709387.38,1709387.38
8705,"Special purpose motor vehicles; not those for the transport of persons or goods (e.g. breakdown lorries, road sweeper lorries, spraying lorries, mobile workshops, mobile radiological units etc)",52796.2,52796.2
8706,"Chassis; fitted with engines, for the motor vehicles of heading no. 8701 to 8705",412635.76,412635.76
8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",3269585.8,3269585.8
8710,"Tanks and other armoured fighting vehicles; motorised, whether or not fitted with weapons, and parts of such vehicles",438362.43000000005,438362.43000000005
8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",14797768.31,14797768.31
8712,"Bicycles and other cycles; including delivery tricycles, not motorised",62657.8,62657.8
8714,Vehicles; parts and accessories of heading no. 8711 to 8713,7435422.2700000005,7435422.2700000005
8716,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",5031.0,5031.0
8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; parts thereof",1352338.0899999999,1352338.0899999999
8803,"Fish and crustaceans, molluscs and other aquatic invertebrates",2149.0,2149.0
8903,"Yachts and other vessels; for pleasure or sports, rowing boats and canoes",13840.2,13840.2
8907,"Boats, floating structures, other (for e.g. rafts, tanks, coffer-dams, landing stages, buoys and beacons)",12839.59,12839.59
9001,"Optical fibres and optical fibre bundles; optical fibre cables not of heading no. 8544; sheets, plates of polarising material; lenses, prisms, mirrors, of any material; unmounted; not non optical glas",286609.74,286609.74
9004,"Spectacles, goggles and the like; corrective, protective or other",22822.5,22822.5
9010,"Photographic (including cinematographic) laboratory apparatus and equipment, n.e.c. in chapter 90; negatoscopes; projection screens",3817.0,3817.0
9017,Sugars and sugar confectionery,171256.0,171256.0
9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",270536.4,270536.4
9026,"Instruments, apparatus for measuring or checking the flow, level, pressure of liquids, gases (e.g. flow meters, heat meters etc), not instruments and apparatus of heading no. 9014, 9015, 9028 or 9032",4833.0,4833.0
9028,"Gas, liquid or electricity supply or production meters, including calibrating meters therefor",18475.0,18475.0
9030,"Instruments, apparatus for measuring, checking electrical quantities not meters of heading no. 9028; instruments, apparatus for measuring or detecting alpha, beta, gamma, x-ray, cosmic and other radia",11038.91,11038.91
9031,"Measuring or checking instruments, appliances and machines, n.e.c. or included in this chapter; profile projectors",5.0,5.0
9105,"Clocks, other, n.e.c.",13.0,13.0
9112,Clock cases and cases of a similar type for other goods of this chapter and parts thereof,62771.9,62771.9
9209,"Musical instrument parts (for example, mechanisms for musical boxes) and accessories (for example, cards, discs and rolls for mechanical instruments); metronomes, tuning forks and pitch pipes",3253.0,3253.0
9401,"Seats (not those of heading no. 9402), whether or not convertible into beds and parts thereof",287052.58,287052.58
9403,"Furniture and parts thereof, n.e.c. in chapter 94",1939257.42,1939257.42
9404,"Mattress supports; articles of bedding (e.g. mattresses, quilts, eiderdowns, cushions pouffes and pillows), fitted with springs or stuffed, whether or not covered",220638.27999999997,220638.27999999997
9405,"Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or incl",517002.44999999995,517002.44999999995
9406,Buildings; prefabricated,2717733.78,2717733.78
9503,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (scale) models and similar recreational models, working or not; puzzles of all kinds",95353.29,95353.29
9504,"Video game consoles and machines, articles for funfair, table or parlour games, including pintables, billiards, special tables for casino games and automatic bowling alley equipment",45000.0,45000.0
9505,"Festive, carnival or other entertainment articles, including conjuring tricks and novelty jokes",60.0,60.0
9506,"Gymnastics, athletics, other sports (including table tennis) or outdoor games equipment, n.e.c. in this chapter, swimming pools and paddling pools",152480.14,152480.14
9507,"Fishing rods, fish-hooks and other line fishing tackle; fish landing nets and the like; decoy birds (not those of heading no. 9208 or 9705) and similar hunting or shooting requisites",0.0,0.0
9603,"Brooms, brushes (including parts of machines), hand operated floor sweepers, mops and feather dusters; knots and tufts for broom or brush making; paint pads and rollers; squeegees",624273.2,624273.2
9605,"Travel sets; for personal toilet, sewing, shoe or clothes cleaning",3363.0,3363.0
9608,"Pens; ball-point, felt tipped, other porous tipped pens; fountain pens, stylograph pens duplicating stylos, propelling or sliding pencils; parts of the foregoing, excluding those of heading no. 9609",183410.1,183410.1
9609,"Pencils (not of heading no. 9608), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",25876.76,25876.76
9611,"Stamps; date, numbering, sealing stamps and the like (including devices for printing or embossing labels), designed for operating by hand; hand operated composing sticks and printing sets",61306.0,61306.0
9613,"Cigarette lighters and other lighters, whether or not mechanical or electrical and parts thereof other than flints and wicks",46740.0,46740.0
9615,"Combs, hair-slides and similar; hairpins, curling pins, curling grips and hair curlers and the like, other than those of heading no. 8516 and parts thereof",374026.59,374026.59
9617,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners",343531.74000000005,343531.74000000005
9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",7144028.300000001,7144028.300000001
9705,Animal originated products; not elsewhere specified or included,11227.0,11227.0
9999,Commodities not specified according to kind,283759913.98999995,283759913.98999995
